old_path,hit_count,category,proposed_destination,confidence,match_type,status,notes
/sites/idaholegalaid.org/files/styles/logo_for_og/public/ilas-logo-100.png?itok=npTm7cvD,233,other,,0,unknown,no_match,"Unknown path format"
/node/2560/elder-law-video,230,node,/video-library,70,title_match,pending,"Title match: ""Video Library"""
/topics/2483/mobile-home-issues,229,topics,/topics/mobile-home-issues,95,exact_alias,pending,"Exact alias match found"
/node/2170/contact-us,228,node,,0,no_match,no_match,"No matching content found"
/topics/2803/relocation-issues,228,topics,,0,no_match,no_match,"No matching content found"
/node/2791/sexual-violence,227,node,/topics/sexual-violence,95,exact_alias,pending,"Exact alias match found"
/node/1279/interactive-form-durable-power-attorney-health-care-and-living-will,224,node,/topics/power-of-attorney,70,fuzzy_alias,pending,"Matched 2/9 words: power, attorney"
/topics/2478/housing-discrimination,223,topics,/topics/housing-discrimination,95,exact_alias,pending,"Exact alias match found"
"/files/Legal Definition of Domestic Violence.pdf",222,files,/sites/default/files/2025-12/domestic-violence-survivors-relocation-guide.pdf,66,fuzzy_file,pending,"Matched words: domestic, violence"
/SelfHelp/SmallClaims,221,other,,0,unknown,no_match,"Unknown path format"
/ContactUs,218,other,,0,unknown,no_match,"Unknown path format"
/node/2279/retaliation,218,node,,0,no_match,no_match,"No matching content found"
/node/2777/end-life-planning-module-english-and-spanish-espanol,216,node,/resources/end-life-planning,75,fuzzy_alias,pending,"Matched 3/7 words: end, life, planning"
"/sites/idaholegalaid.org/files/Decision Making As We Age Brochure.pdf",216,other,,0,unknown,no_match,"Unknown path format"
/node/1291/who-does-idaho-public-utilities-commission-regulate,215,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/topics/2648/chapter-7,215,topics,,0,no_match,no_match,"No matching content found"
/node/2285/i-need-file-fair-housing-complaint,214,node,/topics/federal-fair-housing-act,70,fuzzy_alias,pending,"Matched 2/5 words: fair, housing"
/node,213,other,,0,unknown,no_match,"Unknown path format"
/node/1106/divorce-terms-explained,213,node,/resources/divorce,70,title_match,pending,"Title match: ""Divorce"""
/node/1295/social-security,213,node,/resources/social-security,95,exact_alias,pending,"Exact alias match found"
"/sites/idaholegalaid.org/files/Expungement brochure final.pdf",213,other,,0,unknown,no_match,"Unknown path format"
/node/2235/idaho-senior-legal-guidebook,210,node,/about-idaho-legal-aid-services,70,fuzzy_alias,pending,"Matched 2/4 words: idaho, legal"
/admin.php,209,other,,0,unknown,no_match,"Unknown path format"
/file.php,209,other,,0,unknown,no_match,"Unknown path format"
"/sites/default/files/Primary Logo & Tagline (2)_0.svg",209,files,"/sites/default/files/2025-06/Primary Logo & Tagline (2)_0.svg",95,exact_file,pending,"Exact file match: Primary Logo & Tagline (2)_0.svg"
/about.php,207,other,,0,unknown,no_match,"Unknown path format"
/info.php,206,other,,0,unknown,no_match,"Unknown path format"
/Home/PublicWeb/AdviceLine,205,other,,0,unknown,no_match,"Unknown path format"
/node/2389/evictions-and-reasonable-accommodation-requests,205,node,/resources/evictions,70,title_match,pending,"Title match: ""Evictions"""
/node/2259/idaho-department-health-welfare,203,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/node/1330/advice-renters-repairs,202,node,/legal-advice-line,70,title_match,pending,"Title match: ""Legal Advice Line"""
/node/1331/advice-renters-security-deposits,202,node,/topics/security-deposits,70,fuzzy_alias,pending,"Matched 2/4 words: security, deposits"
/node/1282/aid-aged-blind-and-disabled,197,node,,0,no_match,no_match,"No matching content found"
/topics/2425/identity-theft,197,topics,/topics/identity-theft,95,exact_alias,pending,"Exact alias match found"
/files/ID_MHP_LL-T_Act.pdf,195,files,,0,no_match,no_match,"File not found"
/taxonomy/term/2502,195,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2502 does not exist"
/node/2540/demand-for-accounting-letter,193,node,,0,no_match,no_match,"No matching content found"
/abcd.php,192,other,,0,unknown,no_match,"Unknown path format"
/node/2211/answer-eviction-nonpayment-rent-self-help-form,192,node,/resources/evictions,70,title_match,pending,"Title match: ""Evictions"""
/node/1334/lead-based-paint-hazard-disclosure-form,191,node,/topics/lead-paint,70,fuzzy_alias,pending,"Matched 2/6 words: lead, paint"
/node/1120/emergency-help,190,node,/apply-for-help,70,title_match,pending,"Title match: ""Apply for Help"""
/node/2731/how-change-your-name-your-idaho-birth-certificate,189,node,/topics/adult-name-change,70,fuzzy_alias,pending,"Matched 2/5 words: change, name"
/ioxi-o.php,188,other,,0,unknown,no_match,"Unknown path format"
/node/2663/idaho-court-process-custody-and-divorce-cases,188,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/node/2700/cease-and-desist-letter-debt-collectors,188,node,/resources/debt-collection-and-garnishment,70,title_match,pending,"Title match: ""Debt Collection and Garnishment"""
/node/1137/guardians-annual-report,187,node,/resources/adult-guardianship-and-conservatorship,70,title_match,pending,"Title match: ""Adult Guardianship and Conservatorship"""
/node/2666/discovery-and-uniform-family-law-interrogatories,187,node,/resources/family-law,70,fuzzy_alias,pending,"Matched 2/5 words: family, law"
/themes/custom/b5subtheme/images/logo-greyscale.svg,187,other,,0,unknown,no_match,"Unknown path format"
/topics/2786/third-party-custody-or-visitation,186,topics,/resources/custody,70,title_match,pending,"Title match: ""Custody"""
"/sites/default/files/Vehicle Repossession - Understanding the Rules of the Road.pdf",183,files,/sites/default/files/2025-12/vehicle-repossession-guide.pdf,66,fuzzy_file,pending,"Matched words: vehicle, repossession"
/classwithtostring.php,182,other,,0,unknown,no_match,"Unknown path format"
/files/Q&A_Wills.pdf,182,files,,0,no_match,no_match,"File not found"
/node/1622/spanish-espanol-domestic-violence-safety-plan,182,node,/topics/domestic-violence,70,fuzzy_alias,pending,"Matched 2/6 words: domestic, violence"
/taxonomy/term/2473,182,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2473 does not exist"
/topics/2657/repairing-credit,182,topics,/topics/repairing-credit,95,exact_alias,pending,"Exact alias match found"
/node/2041/your-money,181,node,,0,no_match,no_match,"No matching content found"
/SelfHelp/FeeWaiver,181,other,,0,unknown,no_match,"Unknown path format"
"/sites/default/files/CAO Minor Guardianship Guide.pdf",181,files,/sites/default/files/2025-12/minor-guardianship-guide.pdf,74,fuzzy_file,pending,"Matched words: minor, guardianship, guide"
/topics/2517/social-security-disability-benefits,181,topics,/topics/social-security-disability,75,fuzzy_alias,pending,"Matched 3/4 words: social, security, disability"
/donate/ways-to-give,178,other,,0,unknown,no_match,"Unknown path format"
/topics/2817/medicaid-long-term-care,178,topics,/resources/medicaid,70,title_match,pending,"Title match: ""Medicaid"""
/alfa.php,177,other,,0,unknown,no_match,"Unknown path format"
/SelfHelp/LandlordTenant,177,other,,0,unknown,no_match,"Unknown path format"
/SelfHelp/Collections,175,other,,0,unknown,no_match,"Unknown path format"
/taxonomy/term/2562,174,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2562 does not exist"
/node/2628/idaho-department-labor-unemployment-benefits,173,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/sites/idaholegalaid.org/files,172,other,,0,unknown,no_match,"Unknown path format"
/taxonomy/term/2450,172,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2450 does not exist"
"/sites/idaholegalaid.org/files/Landlord Tenant Rights and Responsibilities Brochure - updated 8.19.20.pdf",169,other,,0,unknown,no_match,"Unknown path format"
/wp.php,168,other,,0,unknown,no_match,"Unknown path format"
/node/2495/18inidahoorg,167,node,,0,no_match,no_match,"No matching content found"
/1.php,166,other,,0,unknown,no_match,"Unknown path format"
/node/2580/parental-power-attorney-form-and-instructions-non-interactive-form,166,node,/form/contact-form,70,fuzzy_alias,pending,"Matched 2/8 words: form, form"
/sites/default/files/Self-Rescue-Manual-5.8.17.pdf,166,files,,0,no_match,no_match,"File not found"
/node/1122/agricultural-and-migrant-farmworker-services,165,node,/agricultural-worker-services,70,fuzzy_alias,pending,"Matched 2/4 words: agricultural, services"
/node/2236/consumer-law-portal,165,node,/legal-help/consumer,70,title_match,pending,"Title match: ""Consumer Protection"""
/node/1314/hud-approved-housing-counseling-agencies,164,node,/legal-help/housing,70,title_match,pending,"Title match: ""Safe & Stable Housing"""
/donate/questions,163,other,,0,unknown,no_match,"Unknown path format"
/sites/default/files/LivingWills_IdahoNaturalDeathAct.pdf,163,files,,0,no_match,no_match,"File not found"
/topics/2418/automobiles,163,topics,/topics/automobiles,95,exact_alias,pending,"Exact alias match found"
/node/2551/ILAS-receives-grant-to-help-survivors-of-violence,162,node,/apply-for-help,70,title_match,pending,"Title match: ""Apply for Help"""
"/sites/default/files/Consumer Complaints.pdf",162,files,/sites/default/files/2025-12/consumer-complaints-resources.pdf,66,fuzzy_file,pending,"Matched words: consumer, complaints"
/chosen.php,161,other,,0,unknown,no_match,"Unknown path format"
/node/1303/mortgage-fraud-and-foreclosure,161,node,/resources/fraud-and-identity-theft,70,title_match,pending,"Title match: ""Fraud and Identity Theft"""
/node/1803/garnishments-and-bankruptcy,161,node,/resources/bankruptcy,70,title_match,pending,"Title match: ""Bankruptcy"""
/node/2602/how-make-consumer-complaint,159,node,/legal-help/consumer,70,title_match,pending,"Title match: ""Consumer Protection"""
/node/2638/covid-19-rental-and-utility-assistance,159,node,/resources/utility-assistance,70,fuzzy_alias,pending,"Matched 2/4 words: utility, assistance"
/node/2778/medicaid-long-term-care-module-english-and-spanish-espanol,159,node,/resources/medicaid,70,title_match,pending,"Title match: ""Medicaid"""
/topics/2505/employment,159,topics,/topics/employment,95,exact_alias,pending,"Exact alias match found"
/topics/2762/unemployment,159,topics,/topics/unemployment,95,exact_alias,pending,"Exact alias match found"
/topics/2783/renter-safety-and-vawa,159,topics,/topics/renter-safety,70,fuzzy_alias,pending,"Matched 2/3 words: renter, safety"
/topics/2611/state-or-locally-funded-medical-programs,158,topics,/resources/wills-and-small-estates,70,title_match,pending,"Title match: ""Wills and Small Estates"""
/topics/2589/adult-disabled,157,topics,/legal-help/seniors,70,title_match,pending,"Title match: ""Advocacy for Older Adults"""
/node/2797/community-spouse-resource-allowance-2022,156,node,/resources/renter-resources,70,title_match,pending,"Title match: ""Renter Resources"""
/SelfHelp/NameChange,156,other,,0,unknown,no_match,"Unknown path format"
/topics/2571/veteransmilitary,156,topics,,0,no_match,no_match,"No matching content found"
/ip,155,other,,0,unknown,no_match,"Unknown path format"
/node/1796/filing-bankruptcy-without-attorney,154,node,/resources/bankruptcy,70,title_match,pending,"Title match: ""Bankruptcy"""
/node/1910/reverse-mortgages,154,node,,0,no_match,no_match,"No matching content found"
/node/2310/about-reasonable-accommodations-and-modifications,154,node,/topics/reasonable-accommodations,70,fuzzy_alias,pending,"Matched 2/4 words: reasonable, accommodations"
/node/2418/aging-and-disability-resource-center,154,node,/resources/renter-resources,70,title_match,pending,"Title match: ""Renter Resources"""
/topics/2429/other-consumer,154,topics,/legal-help/consumer,70,title_match,pending,"Title match: ""Consumer Protection"""
/files/Travel_Loan_Brochure.pdf,153,files,,0,no_match,no_match,"File not found"
/node/1123/legal-help-resources,153,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/node/1816/qualifying-chapter-7-bankruptcy-means-test-made-simple-sort,153,node,/topics/chapter-7-bankruptcy,70,fuzzy_alias,pending,"Matched 2/8 words: chapter, bankruptcy"
/files/English_Event_flyer_in_Jerome.pdf,152,files,,0,no_match,no_match,"File not found"
/node/1313/us-citizenship-and-immigration-services,152,node,/services,70,title_match,pending,"Title match: ""Services"""
/node/1067/legal-advice-hotlines,151,node,/legal-advice-line,70,fuzzy_alias,pending,"Matched 2/3 words: legal, advice"
/node/2238/bankruptcy,151,node,/topics/bankruptcy,95,exact_alias,pending,"Exact alias match found"
/SelfHelp/AdvancedDirectives,151,other,,0,unknown,no_match,"Unknown path format"
/node/1459/us-district-court-idaho-pro-se-handbook-manual-litigant-filing-without-counsel,148,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/node/2832/how-transfer-guardianship-or-idaho-developmentally-disabled-person,147,node,/resources/adult-guardianship-and-conservatorship,70,title_match,pending,"Title match: ""Adult Guardianship and Conservatorship"""
"/sites/default/files/SSI and Social Security Disability_Spanish_1.doc",147,files,/sites/default/files/2025-12/ssi-ssdi-resource-guide-spanish.doc,66,fuzzy_file,pending,"Matched words: ssi, spanish"
/topics/2795/renters-and-foreclosure,147,topics,,0,no_match,no_match,"No matching content found"
/cong.php,145,other,,0,unknown,no_match,"Unknown path format"
/node/1285/ten-things-know-about-reverse-mortgages-hud,145,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/radio.php,145,other,,0,unknown,no_match,"Unknown path format"
/topics/2820/end-life-planning,145,topics,/topics/end-life-planning,95,exact_alias,pending,"Exact alias match found"
/node/1249/idaho-child-care-progam-guide-parents-iccp,144,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/node/2728/real-property-interests-between-unmarried-couples-guide,144,node,/resources/housing-guide-tenants,70,title_match,pending,"Title match: ""Housing Guide for Tenants"""
/topics/2482/foreclosure,144,topics,/topics/foreclosure,95,exact_alias,pending,"Exact alias match found"
/topics/2490/utility-issues-and-shutoffs,144,topics,/topics/utility-shutoffs,70,fuzzy_alias,pending,"Matched 2/3 words: utility, shutoffs"
/sites/idaholegalaid.org/files/Self-Rescue_Manual.pdf,143,other,,0,unknown,no_match,"Unknown path format"
/topics/2652/debt-management-counseling,143,topics,/topics/debt-management,70,fuzzy_alias,pending,"Matched 2/3 words: debt, management"
/taxonomy/term/2811,142,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2811 does not exist"
/topics/2784/lead-paint,140,topics,/topics/lead-paint,95,exact_alias,pending,"Exact alias match found"
/Home/PublicWeb,139,other,,0,unknown,no_match,"Unknown path format"
/node/2045/your-future,139,node,,0,no_match,no_match,"No matching content found"
/topics/2428/predatory-lending,139,topics,/topics/predatory-lending,95,exact_alias,pending,"Exact alias match found"
/node/2665/idaho-address-confidentiality-program,138,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/taxonomy/term/2526,138,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2526 does not exist"
/taxonomy/term/2458,137,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2458 does not exist"
/taxonomy/term/2463,136,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2463 does not exist"
/node/2196/custody-petition-packet,135,node,/resources/custody,70,title_match,pending,"Title match: ""Custody"""
/node/2411/idaho-legal-aid-services-coeur-d-alene-office-moving,135,node,/about-idaho-legal-aid-services,80,fuzzy_alias,pending,"Matched 4/8 words: idaho, legal, aid, services"
/node/2697/process-civil-lawsuit,135,node,,0,no_match,no_match,"No matching content found"
/node/2752/commitment-serve-all-idahoans,134,node,,0,no_match,no_match,"No matching content found"
/topics/2430/unfair-and-deceptive-trade-practices,133,topics,/topics/trade-practices,70,fuzzy_alias,pending,"Matched 2/4 words: trade, practices"
/topics/2484/mortgages,132,topics,,0,no_match,no_match,"No matching content found"
"/files/Mortgage Fraud and Foreclosure.pdf",131,files,,0,no_match,no_match,"File not found"
/node/1844/your-rights-under-fair-credit-reporting-act,131,node,/topics/federal-fair-housing-act,70,fuzzy_alias,pending,"Matched 2/6 words: fair, act"
/node/2732/how-change-your-sex-designation-your-drivers-license-or-id-card,131,node,/resources/name-changes,70,title_match,pending,"Title match: ""Name Changes"""
/taxonomy/term/2758,131,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2758 does not exist"
/aa.php,130,other,,0,unknown,no_match,"Unknown path format"
/node/1204/claim-exemption-levy-form,130,node,/resources/small-claims,70,title_match,pending,"Title match: ""Small Claims"""
/topics/2818/caregiving-and-caregivers,129,topics,/resources/caregiving,70,title_match,pending,"Title match: ""Caregiving"""
